,hn_count,hn_sent_mean,hn_mentions
2020-11-15 00:00:00,0,0.0,0
2020-11-15 06:00:00,0,0.0,0
2020-11-15 12:00:00,1,0.0,0
2020-11-15 18:00:00,0,0.0,0
2020-11-16 00:00:00,0,0.0,0
2020-11-16 06:00:00,0,0.0,0
2020-11-16 12:00:00,0,0.0,0
2020-11-16 18:00:00,1,0.3818,0
2020-11-17 00:00:00,0,0.0,0
2020-11-17 06:00:00,0,0.0,0
2020-11-17 12:00:00,1,0.1027,0
2020-11-17 18:00:00,1,0.5106,0
2020-11-18 00:00:00,1,0.0,0
2020-11-18 06:00:00,0,0.0,0
2020-11-18 12:00:00,0,0.0,0
2020-11-18 18:00:00,0,0.0,0
2020-11-19 00:00:00,0,0.0,0
2020-11-19 06:00:00,0,0.0,0
2020-11-19 12:00:00,0,0.0,0
2020-11-19 18:00:00,0,0.0,0
2020-11-20 00:00:00,1,-0.2584,0
2020-11-20 06:00:00,1,-0.2796,0
2020-11-20 12:00:00,0,0.0,0
2020-11-20 18:00:00,0,0.0,0
2020-11-21 00:00:00,0,0.0,0
2020-11-21 06:00:00,1,0.0,0
2020-11-21 12:00:00,0,0.0,0
2020-11-21 18:00:00,1,0.0,0
2020-11-22 00:00:00,0,0.0,0
2020-11-22 06:00:00,0,0.0,0
2020-11-22 12:00:00,0,0.0,0
2020-11-22 18:00:00,1,0.4939,0
2020-11-23 00:00:00,0,0.0,0
2020-11-23 06:00:00,1,0.8881,0
2020-11-23 12:00:00,0,0.0,0
2020-11-23 18:00:00,0,0.0,0
2020-11-24 00:00:00,0,0.0,0
2020-11-24 06:00:00,0,0.0,0
2020-11-24 12:00:00,0,0.0,0
2020-11-24 18:00:00,1,0.0,0
2020-11-25 00:00:00,1,0.0,0
2020-11-25 06:00:00,0,0.0,0
2020-11-25 12:00:00,0,0.0,0
2020-11-25 18:00:00,0,0.0,0
2020-11-26 00:00:00,0,0.0,0
2020-11-26 06:00:00,0,0.0,0
2020-11-26 12:00:00,0,0.0,0
2020-11-26 18:00:00,0,0.0,0
2020-11-27 00:00:00,0,0.0,0
2020-11-27 06:00:00,0,0.0,0
2020-11-27 12:00:00,0,0.0,0
2020-11-27 18:00:00,0,0.0,0
2020-11-28 00:00:00,0,0.0,0
2020-11-28 06:00:00,0,0.0,0
2020-11-28 12:00:00,0,0.0,0
2020-11-28 18:00:00,1,0.296,0
2020-11-29 00:00:00,0,0.0,0
2020-11-29 06:00:00,0,0.0,0
2020-11-29 12:00:00,0,0.0,0
2020-11-29 18:00:00,0,0.0,0
2020-11-30 00:00:00,0,0.0,0
2020-11-30 06:00:00,0,0.0,0
2020-11-30 12:00:00,0,0.0,0
2020-11-30 18:00:00,0,0.0,0
2020-12-01 00:00:00,0,0.0,0
2020-12-01 06:00:00,1,0.0,0
2020-12-01 12:00:00,0,0.0,0
2020-12-01 18:00:00,1,0.0,0
2020-12-02 00:00:00,1,-0.204,0
2020-12-02 06:00:00,1,0.0,0
2020-12-02 12:00:00,0,0.0,0
2020-12-02 18:00:00,0,0.0,0
2020-12-03 00:00:00,0,0.0,0
2020-12-03 06:00:00,0,0.0,0
2020-12-03 12:00:00,0,0.0,0
2020-12-03 18:00:00,0,0.0,0
2020-12-04 00:00:00,0,0.0,0
2020-12-04 06:00:00,0,0.0,0
2020-12-04 12:00:00,0,0.0,0
2020-12-04 18:00:00,0,0.0,0
2020-12-05 00:00:00,0,0.0,0
2020-12-05 06:00:00,0,0.0,0
2020-12-05 12:00:00,1,-0.2263,0
2020-12-05 18:00:00,0,0.0,0
2020-12-06 00:00:00,0,0.0,0
2020-12-06 06:00:00,0,0.0,0
2020-12-06 12:00:00,0,0.0,0
2020-12-06 18:00:00,0,0.0,0
2020-12-07 00:00:00,0,0.0,0
2020-12-07 06:00:00,0,0.0,0
2020-12-07 12:00:00,2,-0.2553,0
2020-12-07 18:00:00,1,0.0,0
2020-12-08 00:00:00,0,0.0,0
2020-12-08 06:00:00,0,0.0,0
2020-12-08 12:00:00,0,0.0,0
2020-12-08 18:00:00,1,0.0,0
2020-12-09 00:00:00,0,0.0,0
2020-12-09 06:00:00,0,0.0,0
2020-12-09 12:00:00,1,0.0,0
2020-12-09 18:00:00,0,0.0,0
2020-12-10 00:00:00,0,0.0,0
2020-12-10 06:00:00,0,0.0,0
2020-12-10 12:00:00,0,0.0,0
2020-12-10 18:00:00,1,0.0,0
2020-12-11 00:00:00,1,0.0,0
2020-12-11 06:00:00,0,0.0,0
2020-12-11 12:00:00,0,0.0,0
2020-12-11 18:00:00,1,0.4168,0
2020-12-12 00:00:00,0,0.0,0
2020-12-12 06:00:00,0,0.0,0
2020-12-12 12:00:00,0,0.0,0
2020-12-12 18:00:00,1,0.0,0
2020-12-13 00:00:00,0,0.0,0
2020-12-13 06:00:00,0,0.0,0
2020-12-13 12:00:00,1,0.0,0
2020-12-13 18:00:00,0,0.0,0
2020-12-14 00:00:00,0,0.0,0
2020-12-14 06:00:00,0,0.0,0
2020-12-14 12:00:00,0,0.0,0
2020-12-14 18:00:00,0,0.0,0
2020-12-15 00:00:00,0,0.0,0
2020-12-15 06:00:00,0,0.0,0
2020-12-15 12:00:00,0,0.0,0
2020-12-15 18:00:00,1,-0.3612,0
2020-12-16 00:00:00,0,0.0,0
2020-12-16 06:00:00,0,0.0,0
2020-12-16 12:00:00,1,0.0,0
2020-12-16 18:00:00,0,0.0,0
2020-12-17 00:00:00,0,0.0,0
2020-12-17 06:00:00,0,0.0,0
2020-12-17 12:00:00,1,-0.34,0
2020-12-17 18:00:00,0,0.0,0
2020-12-18 00:00:00,1,0.0,0
2020-12-18 06:00:00,0,0.0,0
2020-12-18 12:00:00,0,0.0,0
2020-12-18 18:00:00,2,-0.10115,0
2020-12-19 00:00:00,0,0.0,0
2020-12-19 06:00:00,0,0.0,0
2020-12-19 12:00:00,0,0.0,0
2020-12-19 18:00:00,1,0.0,0
2020-12-20 00:00:00,1,0.0,0
2020-12-20 06:00:00,0,0.0,0
2020-12-20 12:00:00,0,0.0,0
2020-12-20 18:00:00,0,0.0,0
2020-12-21 00:00:00,0,0.0,0
2020-12-21 06:00:00,0,0.0,0
2020-12-21 12:00:00,0,0.0,0
2020-12-21 18:00:00,1,0.0,0
2020-12-22 00:00:00,0,0.0,0
